Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
isoleucine,27,22.1831,0,36.7846,25.799,22.3397,,,,,,,,,,,,,,,,,,,,,
isoleucine,27,21.7124,27.3465,32.626,24.6138,20.5481,,,,,,,,,,,,,,,,,,,,,
isoleucine,35,18.3337,7.5564,0,19.8356,33.9167,,,,,,,,,,,,,,,,,,,,,
isoleucine,35,17.4972,7.5519,16.7786,21.3838,34.1892,,,,,,,,,,,,,,,,,,,,,
isoleucine,35,17.2566,6.3597,17.7833,22.352,33.3013,,,,,,,,,,,,,,,,,,,,,
isoleucine,46,36.6747,39.2416,22.6423,20.1478,18.5373,,,,,,,,,,,,,,,,,,,,,
isoleucine,46,31.4777,34.7249,22.861,19.9315,17.6416,,,,,,,,,,,,,,,,,,,,,
isoleucine,46,29.8632,28.9581,22.3928,20.54,17.1845,,,,,,,,,,,,,,,,,,,,,
isoleucine,58,12.5733,12.1094,17.6867,27.7424,11.224,,,,,,,,,,,,,,,,,,,,,
isoleucine,58,11.2561,13.2367,17.2551,25.2453,11.2877,,,,,,,,,,,,,,,,,,,,,
isoleucine,58,11.2576,12.7949,17.4236,23.6437,10.3793,,,,,,,,,,,,,,,,,,,,,
isoleucine,70,14.7823,0,16.3677,19.47,238.2314,,,,,,,,,,,,,,,,,,,,,
isoleucine,70,14.5787,0,34.1491,18.9598,175.3455,,,,,,,,,,,,,,,,,,,,,
isoleucine,70,13.3594,0,36.999,18.9215,20.9828,,,,,,,,,,,,,,,,,,,,,
isoleucine,94,10.4186,6.0381,18.882,32.7069,7.0403,,,,,,,,,,,,,,,,,,,,,
isoleucine,94,9.9074,6.1083,17.8801,31.8929,7.651,,,,,,,,,,,,,,,,,,,,,
isoleucine,94,9.3528,5.2303,15.7589,25.9377,8.308,,,,,,,,,,,,,,,,,,,,,
isoleucine,118,9.7785,5.2,12.9989,21.5927,9.5758,,,,,,,,,,,,,,,,,,,,,
isoleucine,118,9.9556,5.8499,11.7124,19.982,7.9743,,,,,,,,,,,,,,,,,,,,,
isoleucine,118,9.5581,5.7688,12.1613,20.5236,7.7708,,,,,,,,,,,,,,,,,,,,,
